	Region1_2010_FOOD3	Region1_2010_FOOD5	Region1_2014_FOOD2	Region1_2012_FOOD6	Region2_2016_FOOD13	Region6_2013_FOOD1	Region2_2006_FOOD12	Region1_2016_FOOD9	Region1_2016_FOOD10	Region1_2017_FOOD7	Region5_2016_FOOD15	Region3_2017_HUMAN26	Country_HUMAN49	Country_HUMAN34	Country_HUMAN44	Region3_2017_HUMAN19	Country_HUMAN48	Country_HUMAN50	Country_HUMAN39	Region4_2016_FOOD16	Region4_2017_FOOD17	Region3_2017_HUMAN18	Region3_2017_HUMAN20	Region3_2017_HUMAN22	Region3_2017_HUMAN23	Country_HUMAN28	Country_HUMAN33	Country_HUMAN35	Country_HUMAN36	Country_HUMAN37	Country_HUMAN40	SE_2018_FOOD41	Country_HUMAN47	Region3_2017_HUMAN21	Region3_2018_FOOD42	Region3_2018_FOOD43	Region3_2017_HUMAN24	Country_HUMAN38	Region3_2017_HUMAN25	Country_HUMAN27	Country_HUMAN32	Country_HUMAN31	Country_HUMAN29	Region1_2017_FOOD8	Country_HUMAN45	Country_HUMAN30	Country_HUMAN46	Region7_2014_FOOD11	Region2_2017_FOOD14
Country_HUMAN38	24	22.99	22.99	25	24	21.99	25	29	32.99	22.99	19.99	3	3	3	4	4	3	5	3	2	2	2	2	2	2	2	2	2	2	2	0	1	2	3	3	3	4	0	5	5	4	6	5	3	5	8.99	13	40	29
Region3_2017_HUMAN25	26	27	26	28	26	25	29	31.99	35	26	22.99	3	3	3	3	4	3	4	4	3	3	3	3	3	3	3	3	3	3	3	0	2	3	4	4	4	5	5	0	6	5	6.99	6	6	5	9.99	14	42	32.99
Country_HUMAN27	25	26	24	26	25	24	28	31	35	25	19.99	4	4	4	5	4	4	6	5	3	3	3	2	3	2	3	3	3	3	3	3	2	3	3	2	2	4	5	6	0	2	2	4	6	6	5	13	43	31.99
Country_HUMAN32	25	26	25	27	25	24	28	31	35	26	21.99	3	3	3	4	4	3	5	4	2	2	2	2	2	2	1	2	2	2	2	2	1	2	3	2	2	4	4	5	2	0	3	2	5	5	3	13	42	30
Country_HUMAN31	25	26	25	27	25	24	28	31	35	26	21.99	5	5	5	6	6	5	6.99	6	4	4	4	4	4	4	3	4	4	4	4	4	2	4	5	3	4	6	6	6.99	2	3	0	6.99	6	6.99	14	43	31	31
Country_HUMAN29	26	27	26	28	26	25	29	31.99	36	26	22.99	4	4	4	4	4	4	5	5	3	3	3	3	3	3	2	3	3	3	3	3	2	3	4	2	3	5	5	6	4	2	3	0	6	6	6.99	14	43	31.99
Region1_2017_FOOD8	25	26	26	28	26	25	29	31.99	36	26	22.99	4	4	4	5	5	4	5	5	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	4	4	5	3	6	6	5	6.99	6	0	5	9.99	13	43.99	32.99
Country_HUMAN45	26	27	26	28	25	25	28	31	36	26	22.99	4	4	4	5	5	4	6	5	3	2	3	3	3	3	3	3	3	3	3	3	3	2	4	4	4	5	5	5	6	5	6	6	5	0	8.99	9.99	41	31.99
Country_HUMAN30	29	30	29	31	29	28	31.99	35	39	30	26	7.99	7.99	7.99	8.99	8.99	7.99	9.99	8.99	6.99	6.99	6.99	6.99	6.99	6.99	6	6.99	6.99	6.99	6.99	6.99	5	6.99	7.99	6.99	6	7.99	8.99	9.99	5	3	6.99	6.99	9.99	8.99	0	16	47	34
Country_HUMAN46	32.99	34	32.99	35	31	31.99	36	37	40	34	31	12	12	12	13	13	12	14	13	10.99	9.99	10.99	10.99	10.99	10.99	10.99	10.99	10.99	10.99	10.99	9.99	10.99	9.99	8.99	12	12	12	13	14	13	13	14	14	13	9.99	16	0	52	40
Region7_2014_FOOD11	30	31	30	31.99	31	30	31	36	36	32.99	27	42	42	42	43	43	41	43	42	41	41	41	41	41	41	41	41	41	41	41	21.99	39	41	42	42	41	43	40	42	43	42	43	43	43.99	41	47	52	0	18.99
Region2_2017_FOOD14	18	18.99	18	19.99	18.99	18	19.99	24	27	21.99	16	31	31	31	31.99	31.99	30	31.99	31	30	30	30	30	30	30	29	30	30	30	30	15	28	30	31	30	30	31.99	29	32.99	31.99	30	31	31.99	32.99	31.99	34	40	18.99	0
